Dataset,Task,Gtask,Model,RIER,RDER,Pass1,WithTest,NoTest,MisleadingTest,src,tgt
MBPP,ier,,GPT-4,80.88,,,,,,,
MBPP,ier,,GPT-3.5,71.32,,,,,,,
MBPP,ier,,Llama2-13B,45.59,,,,,,,
MBPP,ier,,Mistral-7B-Instruct-v0.1,31.37,,,,,,,
MBPP,ier,,CodeLlama-13B-instruct,42.40,,,,,,,
MBPP,ier,,DeepSeekCoder-6.7B-instruct,57.84,,,,,,,
MBPP,ier,,Magicoder-S-DS-6.7B,59.80,,,,,,,
MBPP,ier,,StarCoder-15.5B,43.63,,,,,,,
MBPP,ier,,StarCoder2-15.5B,57.84,,,,,,,
MBPP,ier,,WizardCoder-15B,46.08,,,,,,,
MBPP,ier,,CodeQwen1.5-7B-Chat,59.56,,,,,,,
MBPP,ier,,DeepSeekCoder-6.7B-base,46.91,,,,,,,
MBPP,ier,,CodeLlama-13B-base,44.25,,,,,,,
HumanEval,ier,,GPT-4,79.01,,,,,,,
HumanEval,ier,,GPT-3.5,64.20,,,,,,,
HumanEval,ier,,Llama2-13B,30.86,,,,,,,
HumanEval,ier,,Mistral-7B-Instruct-v0.1,32.72,,,,,,,
HumanEval,ier,,CodeLlama-13B-instruct,45.06,,,,,,,
HumanEval,ier,,DeepSeekCoder-6.7B-instruct,41.98,,,,,,,
HumanEval,ier,,Magicoder-S-DS-6.7B,52.47,,,,,,,
HumanEval,ier,,StarCoder-15.5B,38.89,,,,,,,
HumanEval,ier,,StarCoder2-15.5B,46.30,,,,,,,
HumanEval,ier,,WizardCoder-15B,40.12,,,,,,,
HumanEval,ier,,CodeQwen1.5-7B-Chat,68.52,,,,,,,
HumanEval,ier,,DeepSeekCoder-6.7B-base,46.91,,,,,,,
HumanEval,ier,,CodeLlama-13B-base,46.05,,,,,,,
CruxEval,ier,,GPT-4,80.50,,,,,,,
CruxEval,ier,,GPT-3.5,65.13,,,,,,,
CruxEval,ier,,Llama2-13B,25.38,,,,,,,
CruxEval,ier,,Mistral-7B-Instruct-v0.1,34.13,,,,,,,
CruxEval,ier,,CodeLlama-13B-instruct,37.75,,,,,,,
CruxEval,ier,,DeepSeekCoder-6.7B-instruct,44.38,,,,,,,
CruxEval,ier,,Magicoder-S-DS-6.7B,46.50,,,,,,,
CruxEval,ier,,StarCoder-15.5B,35.50,,,,,,,
CruxEval,ier,,StarCoder2-15.5B,52.00,,,,,,,
CruxEval,ier,,WizardCoder-15B,35.88,,,,,,,
CruxEval,ier,,CodeQwen1.5-7B-Chat,42.50,,,,,,,
CruxEval,ier,,DeepSeekCoder-6.7B-base,45.50,,,,,,,
CruxEval,ier,,CodeLlama-13B-base,41.15,,,,,,,
CodeNet,ier,,GPT-4,70.71,,,,,,,
CodeNet,ier,,GPT-3.5,50.44,,,,,,,
CodeNet,ier,,Llama2-13B,21.47,,,,,,,
CodeNet,ier,,Mistral-7B-Instruct-v0.1,17.73,,,,,,,
CodeNet,ier,,CodeLlama-13B-instruct,28.20,,,,,,,
CodeNet,ier,,DeepSeekCoder-6.7B-instruct,29.37,,,,,,,
CodeNet,ier,,Magicoder-S-DS-6.7B,34.84,,,,,,,
CodeNet,ier,,StarCoder-15.5B,27.78,,,,,,,
CodeNet,ier,,StarCoder2-15.5B,37.78,,,,,,,
CodeNet,ier,,WizardCoder-15B,27.09,,,,,,,
CodeNet,ier,,CodeQwen1.5-7B-Chat,30.20,,,,,,,
CodeNet,ier,,DeepSeekCoder-6.7B-base,37.38,,,,,,,
CodeNet,ier,,CodeLlama-13B-base,29.75,,,,,,,
Avatar,ier,,GPT-4,50.59,,,,,,,
Avatar,ier,,GPT-3.5,37.21,,,,,,,
Avatar,ier,,Llama2-13B,23.84,,,,,,,
Avatar,ier,,Mistral-7B-Instruct-v0.1,13.96,,,,,,,
Avatar,ier,,CodeLlama-13B-instruct,25.59,,,,,,,
Avatar,ier,,DeepSeekCoder-6.7B-instruct,20.93,,,,,,,
Avatar,ier,,Magicoder-S-DS-6.7B,24.42,,,,,,,
